ID_Origen,Query,Categoria_Real,SubCategoria_Real,ID_Recuperado,Categoria_Recuperada,SubCategoria_Recuperada,Similitud_Coseno,Umbral_Dinamico,Modo,Tiempo_Segundos,Effort_Manual_Horas,Acierto_Categoria,Acierto_SubCategoria,Acierto_ID,Solucion_Real,Recomendacion_SIR,Es_Llamada_Real
10930,"El aplicativo Lingo 4.0 presentó errores 500 al intentar obtener el token de autenticación, lo que generaba alertas visi...",Azure Data Factory,Accesos / Autenticación,10930,Azure Data Factory,Accesos / Autenticación,0.8027,0.65,RAG,5.222,1.0,1,1,1,"Se actualizó el client_secret en la configuración del App Service. Tras este cambio, el sistema pudo autenticarse nuevamente y las recomendaciones se muestran sin inconvenientes.","Estimado ingeniero de soporte,

Hemos identificado un caso previo con alta similitud semántica en nuestra base de conocimiento, con ID **10930",True
11892,Alcance Multidominio: Se reportaron fallos en cascada en procesos críticos de tres áreas distintas entre la 01:07 AM y l...,Azure Data Factory,Linked Services,11892,Azure Data Factory,Linked Services,0.8607,0.75,RAG,2.603,2.0,1,1,1,"Monitoreo de Infraestructura: Se verificó el estado de salud del runtime en el entorno de desarrollo (DEV) y producción, confirmando que el servicio IR-MinsurAzure ya se encuentra estable y operativo. 
Acción de Recuperación: Dado que los fallos fueron por indisponibilidad de red y no por errores de lógica o datos, los pipelines afectados pueden ser re-ejecutados manualmente para completar la carga del día.","Recomendación simulada Hito 2 v4 para el ticket 11892. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 11892.",False
8820,Se observa un error en la ejecución del pipeline 'VisorGeneralEtl' dentro del Data Factory 'adf-analitica-prd'. La ejecu...,Azure Data Factory,Pipelines,8820,Azure Data Factory,Pipelines,0.9102,0.75,RAG,2.283,1.0,1,1,1,Se procedió a reprocesar la carga diaria para intentar resolver la falla. Este reproceso busca reiniciar el flujo de datos y superar el error temporal o de configuración que pudo haber ocurrido.,"Recomendación simulada Hito 2 v4 para el ticket 8820. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 8820.",False
9307,Se recibió una alerta de falla en la ejecución de un Job en Azure Data Factory (ADF) para el entorno Pisco DEV. El error...,Azure Data Factory,Pipelines,9307,Azure Data Factory,Pipelines,0.9015,0.75,RAG,2.083,1.0,1,1,1,"Se notificó al usuario sobre el error en el entorno DEV. Posteriormente, el usuario Kremlin informó que el error ha sido solucionado y la alerta ya no debería generarse.","Recomendación simulada Hito 2 v4 para el ticket 9307. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 9307.",False
9094,"Se observa un error de timeout en la ejecución de un pipeline de Azure Data Factory, específicamente en la actividad 'Co...",Azure Data Factory,Error de Time out,9006,Azure Data Factory,Error de Time out,0.9194,0.75,RAG,2.275,1.0,1,1,0,"Se ha cambiado el horario de procesamiento del pipeline 'Posición Monetaria' a la 1 AM. Este cambio busca reducir la carga concurrente en la base de datos y permitir que la consulta se ejecute sin exceder los límites de tiempo, optimizando así el rendimiento.","Recomendación simulada Hito 2 v4 para el ticket 9094. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 9006.",False
9388,Se reporta un error recurrente relacionado con tokens en los ambientes productivo (Prod) y de desarrollo (Dev) para la s...,Azure Data Factory,Accesos / Autenticación,9388,Azure Data Factory,Accesos / Autenticación,0.8538,0.65,RAG,2.049,2.0,1,1,1,"Se solicitó a Kremlin los secretos necesarios para el ambiente de Producción (PRD). Adicionalmente, se realizó una reunión donde se logró obtener el secreto correspondiente para los ambientes de Calidad (QAS) y Desarrollo (DEV), permitiendo la actualización y validación de los tokens.","Recomendación simulada Hito 2 v4 para el ticket 9388. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 9388.",False
7168,"Se observó un error en un flujo de Data Factory que involucraba un notebook de alerta, generando un bucle debido a un co...",Azure Data Factory,Pipelines,7168,Azure Data Factory,Pipelines,0.7181,0.75,Fallback,4.983,2.0,1,1,1,Se resolvió el bucle de alerta en el flujo de Data Factory y se corrigió la configuración de parámetros en la tabla [ETL].[ConfiguracionCargaIncremental_SAP_Lake] para asegurar el correcto procesamiento de las cargas incrementales de tablas SAP. Johnny aprobó la solución en producción y se está a la espera de la validación del usuario.,"Estimado ingeniero de soporte,

Entendido. Dado que no tenemos un antecedente idéntico registrado en nuestra base de datos histórica de tickets cerrados,",True
5970,"El título indica una revisión del Data Factory 'adf-analitica-prd'. Sin embargo, la descripción y el comentario de resol...",Azure Data Factory,Requerimiento,5970,Azure Data Factory,Requerimiento,0.8922,0.75,RAG,2.414,4.0,1,1,1,No se aplicó ninguna solución debido a la falta de información. Se requeriría una investigación adicional para identificar y resolver cualquier problema.,"Recomendación simulada Hito 2 v4 para el ticket 5970. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 5970.",False
9397,Se observa un error de timeout en la ejecución del pipeline 'pipeline_master_Area_Solicitante' dentro del Data Factory '...,Azure Data Factory,Error de Time out,9397,Azure Data Factory,Error de Time out,0.9067,0.75,RAG,2.197,1.0,1,1,1,"Se procedió a reprocesar la carga de datos. Este reproceso se realizó con normalidad, lo que indica que el problema de timeout fue transitorio y se resolvió al reintentar la operación.","Recomendación simulada Hito 2 v4 para el ticket 9397. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 9397.",False
7885,Se observan errores recurrentes en la ejecución de pipelines de Jenkins relacionados con la carga de datos de Opex para ...,Azure Data Factory,Pipelines,7885,Azure Data Factory,Pipelines,0.8944,0.75,RAG,2.0,6.0,1,1,1,"Se está a la espera de la respuesta de 'SP' para poder continuar con la resolución de los errores. Una vez obtenida la información o corrección necesaria, se procederá a reevaluar y reiniciar los pipelines afectados.","Recomendación simulada Hito 2 v4 para el ticket 7885. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 7885.",False
